Sadness,Anxious,Peer Pressure,Sleep Quality,AI Tools,Family Stress,Financial Satisfaction,Friends Support,Resources Access,Home Stress,Commute Stress,Noise Level,Weather Conditions,Program Confidence,Academic Stress,Advisor Support,Stress Level
Often,Always,Often,Always,Often,Rarely,Neutral,Agree,Good,Strongly Agree,Significantly,Very Manageable,Agree,No,Extremely,Significantly,1
Rarely,Never,Never,Often,Rarely,Rarely,Very Satisfied,Strongly Agree,Poor,Strongly Disagree,A little,Very Manageable,Strongly Agree,Yes,Not at all,Significantly,5
Often,Always,Rarely,Always,Often,Rarely,Satisfied,Strongly Agree,Good,Strongly Agree,Significantly,Very Manageable,Agree,No,Significantly,Significantly,4
Rarely,Rarely,Never,Always,Always,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Significantly,Manageable,Strongly Agree,Yes,Not at all,A little,5
Often,Always,Always,Always,Sometimes,Often,Satisfied,Agree,Excellent,Agree,Extremely,Very Disturbing,Strongly Agree,No,A little,Not at all,5
Always,Always,Rarely,Always,Rarely,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Always,Often,Always,Always,Often,Always,Very Dissatisfied,Strongly Disagree,Poor,Strongly Agree,Extremely,Disturbing,Strongly Agree,No,Extremely,A little,1
Always,Often,Always,Always,Often,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Significantly,Disturbing,Agree,No,Extremely,A little,5
Rarely,Never,Rarely,Often,Rarely,Rarely,Satisfied,Strongly Agree,Good,Strongly Disagree,Significantly,Very Manageable,Agree,Yes,Not at all,Significantly,5
Always,Always,Often,Always,Rarely,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,1
Never,Never,Never,Rarely,Never,Never,Very Satisfied,Strongly Agree,Good,Strongly Disagree,Significantly,Very Manageable,Agree,Yes,Not at all,Significantly,4
Always,Always,Always,Sometimes,Often,Rarely,Neutral,Strongly Agree,Excellent,Strongly Disagree,Moderately,Disturbing,Disagree,No,Significantly,Moderately,5
Rarely,Rarely,Never,Often,Never,Never,Very Satisfied,Strongly Agree,Good,Strongly Disagree,Significantly,Very Manageable,Agree,Yes,Not at all,Significantly,5
Always,Often,Often,Always,Never,Sometimes,Dissatisfied,Strongly Agree,Excellent,Agree,Moderately,Disturbing,Strongly Agree,No,Significantly,Moderately,4
Always,Often,Always,Often,Rarely,Always,Very Dissatisfied,Strongly Agree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Rarely,Never,Rarely,Often,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,A little,Very Manageable,Strongly Agree,Yes,Not at all,Significantly,1
Always,Always,Rarely,Always,Rarely,Always,Dissatisfied,Agree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Significantly,Extremely,5
Always,Always,Always,Often,Rarely,Always,Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Disturbing,Strongly Agree,No,Significantly,A little,5
Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Neutral,Neutral,Poor,Agree,Moderately,Neutral,Agree,Yes,A little,Moderately,3
Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Neutral,Agree,Adequate,Neutral,Significantly,Neutral,Neutral,Yes,Moderately,Moderately,3
Often,Always,Often,Always,Often,Often,Satisfied,Agree,Good,Agree,Moderately,Manageable,Agree,No,Significantly,Significantly,5
Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Agree,Yes,Moderately,Moderately,4
Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Very Satisfied,Strongly Agree,Good,Strongly Disagree,A little,Manageable,Agree,Yes,Not at all,Moderately,1
Often,Often,Always,Often,Often,Always,Dissatisfied,Neutral,Adequate,Agree,Extremely,Manageable,Strongly Agree,No,Significantly,Moderately,5
Often,Sometimes,Always,Always,Always,Always,Very Dissatisfied,Strongly Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Always,Always,Always,Always,Sometimes,Always,Very Dissatisfied,Strongly Agree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Extremely,5
Often,Often,Never,Always,Sometimes,Rarely,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,A little,Manageable,Agree,Yes,Not at all,Significantly,1
Always,Always,Always,Always,Sometimes,Often,Satisfied,Agree,Excellent,Strongly Agree,Significantly,Very Disturbing,Strongly Disagree,No,Significantly,Not at all,5
Always,Always,Rarely,Always,Sometimes,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Often,Often,Often,Always,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,Moderately,Manageable,Agree,No,A little,Significantly,2
Sometimes,Often,Often,Sometimes,Often,Often,Neutral,Agree,Good,Neutral,Significantly,Disturbing,Agree,Yes,Significantly,Significantly,4
Often,Sometimes,Always,Always,Always,Sometimes,Dissatisfied,Neutral,Excellent,Agree,Extremely,Very Disturbing,Strongly Agree,Yes,Significantly,Not at all,4
Rarely,Rarely,Never,Sometimes,Often,Never,Satisfied,Agree,Good,Disagree,Moderately,Very Manageable,Neutral,Yes,A little,Significantly,2
Never,Rarely,Rarely,Rarely,Rarely,Often,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Agree,No,Not at all,Extremely,1
Always,Always,Always,Always,Always,Always,Very Satisfied,Strongly Agree,Excellent,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Dissatisfied,Agree,Poor,Agree,Moderately,Very Disturbing,Strongly Disagree,Yes,A little,Moderately,3
Often,Always,Sometimes,Rarely,Sometimes,Often,Neutral,Strongly Agree,Adequate,Disagree,Significantly,Manageable,Neutral,No,Significantly,Not at all,4
Rarely,Often,Often,Always,Never,Always,Satisfied,Neutral,Good,Strongly Agree,Extremely,Disturbing,Agree,Yes,Moderately,Significantly,2
Always,Often,Sometimes,Always,Sometimes,Always,Satisfied,Neutral,Good,Strongly Agree,Extremely,Manageable,Agree,No,A little,A little,4
Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Very Dissatisfied,Disagree,Very Poor,Neutral,Not at all,Neutral,Disagree,No,Not at all,Extremely,5
Always,Sometimes,Rarely,Never,Always,Sometimes,Satisfied,Strongly Disagree,Excellent,Strongly Disagree,A little,Very Manageable,Strongly Agree,Yes,Extremely,A little,3
Never,Often,Never,Never,Rarely,Never,Neutral,Agree,Good,Agree,Significantly,Manageable,Neutral,Yes,A little,Moderately,4
Often,Always,Sometimes,Often,Sometimes,Often,Very Satisfied,Neutral,Adequate,Disagree,Moderately,Disturbing,Disagree,No,Moderately,Significantly,2
Sometimes,Rarely,Often,Rarely,Often,Rarely,Dissatisfied,Strongly Agree,Poor,Neutral,Extremely,Very Disturbing,Strongly Agree,Yes,Significantly,Not at all,3
Rarely,Sometimes,Always,Always,Always,Always,Satisfied,Disagree,Excellent,Agree,Not at all,Neutral,Agree,No,Not at all,Extremely,5
Often,Often,Sometimes,Sometimes,Never,Sometimes,Neutral,Agree,Good,Strongly Agree,A little,Very Manageable,Strongly Disagree,Yes,Extremely,A little,4
Rarely,Always,Sometimes,Rarely,Often,Sometimes,Neutral,Neutral,Adequate,Disagree,Significantly,Manageable,Strongly Agree,Yes,A little,Significantly,3
Often,Always,Never,Often,Rarely,Rarely,Satisfied,Agree,Adequate,Strongly Agree,Extremely,Manageable,Agree,No,Extremely,Significantly,4
Always,Often,Never,Often,Rarely,Rarely,Dissatisfied,Strongly Agree,Good,Strongly Agree,A little,Neutral,Agree,No,Moderately,A little,5
Sometimes,Sometimes,Rarely,Never,Never,Always,Very Dissatisfied,Disagree,Very Poor,Agree,Moderately,Disturbing,Neutral,Yes,Significantly,Not at all,4
Often,Rarely,Always,Sometimes,Sometimes,Often,Very Dissatisfied,Neutral,Excellent,Neutral,Extremely,Very Manageable,Disagree,No,Not at all,Extremely,2
Rarely,Never,Sometimes,Always,Always,Never,Neutral,Strongly Agree,Poor,Strongly Disagree,Not at all,Very Disturbing,Strongly Disagree,Yes,Extremely,Moderately,4
Often,Always,Sometimes,Often,Sometimes,Often,Dissatisfied,Agree,Adequate,Agree,Moderately,Disturbing,Strongly Agree,Yes,Significantly,A little,4
Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Neutral,Agree,Good,Disagree,A little,Manageable,Neutral,Yes,A little,A little,2
Rarely,Never,Rarely,Never,Never,Rarely,Satisfied,Strongly Agree,Good,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Significantly,1
Rarely,Rarely,Never,Often,Never,Rarely,Satisfied,Strongly Agree,Good,Disagree,Significantly,Manageable,Strongly Disagree,Yes,A little,Significantly,3
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Neutral,Agree,Adequate,Disagree,A little,Manageable,Neutral,Yes,A little,A little,2
Never,Rarely,Never,Rarely,Never,Never,Very Satisfied,Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Disagree,Yes,Not at all,Extremely,1
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Neutral,Agree,Good,Disagree,A little,Manageable,Neutral,Yes,A little,A little,2
Always,Always,Rarely,Always,Rarely,Rarely,Very Satisfied,Agree,Good,Disagree,Significantly,Manageable,Disagree,No,Extremely,Moderately,5
Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Disturbing,Agree,Yes,Moderately,Moderately,3
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Often,Often,Often,Dissatisfied,Neutral,Poor,Agree,Significantly,Disturbing,Agree,Yes,Significantly,A little,4
Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Agree,Yes,Moderately,Moderately,3
Often,Often,Sometimes,Often,Sometimes,Often,Dissatisfied,Neutral,Adequate,Agree,Significantly,Disturbing,Agree,Yes,Significantly,A little,4
Never,Never,Rarely,Never,Never,Rarely,Satisfied,Strongly Agree,Good,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Significantly,1
Never,Never,Rarely,Never,Never,Rarely,Satisfied,Strongly Agree,Good,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Significantly,1
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Neutral,Agree,Adequate,Disagree,A little,Manageable,Neutral,Yes,A little,A little,2
Never,Rarely,Never,Never,Never,Never,Satisfied,Strongly Agree,Good,Disagree,Not at all,Very Manageable,Disagree,Yes,Not at all,Extremely,1
Never,Rarely,Never,Rarely,Never,Never,Very Satisfied,Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Extremely,1
Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Dissatisfied,Neutral,Adequate,Neutral,A little,Disturbing,Agree,Yes,Moderately,A little,3
Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Dissatisfied,Neutral,Adequate,Neutral,A little,Disturbing,Agree,Yes,Moderately,A little,3
Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Neutral,Agree,Good,Neutral,Moderately,Manageable,Neutral,Yes,Moderately,Moderately,3
Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Dissatisfied,Agree,Adequate,Agree,Moderately,Disturbing,Neutral,Yes,Moderately,Moderately,3
Always,Always,Often,Always,Always,Always,Very Dissatisfied,Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Agree,No,Extremely,Not at all,5
Often,Often,Sometimes,Often,Often,Sometimes,Dissatisfied,Agree,Adequate,Agree,Significantly,Disturbing,Agree,Yes,Significantly,A little,4
Often,Often,Often,Sometimes,Often,Often,Dissatisfied,Neutral,Adequate,Agree,Significantly,Disturbing,Agree,Yes,Significantly,A little,4
Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Neutral,Agree,Adequate,Disagree,A little,Neutral,Neutral,Yes,A little,Moderately,2
Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Neutral,Agree,Adequate,Disagree,A little,Manageable,Neutral,Yes,A little,Moderately,2
Never,Rarely,Never,Never,Never,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Extremely,1
Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Neutral,Agree,Good,Disagree,A little,Neutral,Disagree,Yes,A little,Moderately,2
Rarely,Rarely,Never,Rarely,Rarely,Never,Satisfied,Agree,Good,Disagree,Not at all,Manageable,Disagree,Yes,Not at all,Significantly,1
Never,Never,Never,Never,Rarely,Never,Satisfied,Strongly Agree,Good,Strongly Disagree,Not at all,Manageable,Disagree,Yes,Not at all,Significantly,1
Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Neutral,Agree,Adequate,Disagree,A little,Neutral,Neutral,Yes,A little,Moderately,2
Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Neutral,Agree,Good,Disagree,A little,Neutral,Disagree,Yes,A little,Moderately,2
Never,Never,Rarely,Never,Never,Never,Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Extremely,1
Always,Always,Always,Often,Always,Often,Satisfied,Neutral,Poor,Agree,Extremely,Disturbing,Strongly Agree,No,Extremely,A little,5
Always,Always,Often,Always,Often,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Significantly,Not at all,5
Always,Always,Always,Always,Often,Often,Very Dissatisfied,Disagree,Poor,Agree,Significantly,Very Disturbing,Agree,No,Extremely,A little,5
Often,Always,Often,Always,Often,Always,Dissatisfied,Neutral,Poor,Strongly Agree,Moderately,Disturbing,Agree,No,Significantly,Not at all,5
Always,Always,Often,Always,Always,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Rarely,Rarely,Rarely,Never,Rarely,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Extremely,1
Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Neutral,Agree,Adequate,Neutral,Moderately,Disturbing,Neutral,Yes,Moderately,Moderately,3
Often,Often,Often,Always,Sometimes,Often,Dissatisfied,Agree,Adequate,Agree,Extremely,Very Disturbing,Strongly Agree,Yes,Significantly,Moderately,4
Often,Often,Sometimes,Always,Often,Always,Dissatisfied,Agree,Adequate,Agree,Significantly,Very Disturbing,Strongly Agree,Yes,Significantly,Moderately,4
Never,Rarely,Never,Rarely,Never,Rarely,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Manageable,Strongly Disagree,Yes,Not at all,Extremely,1
Often,Always,Always,Always,Always,Always,Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Often,Often,Sometimes,Always,Very Dissatisfied,Neutral,Good,Agree,Significantly,Neutral,Neutral,No,Extremely,Moderately,4
Often,Always,Sometimes,Always,Often,Often,Dissatisfied,Neutral,Poor,Neutral,Moderately,Very Disturbing,Disagree,No,Moderately,Not at all,3
Often,Often,Often,Often,Sometimes,Often,Neutral,Agree,Good,Agree,Extremely,Manageable,Strongly Agree,Yes,Moderately,Moderately,4
Always,Always,Always,Always,Rarely,Sometimes,Neutral,Strongly Agree,Good,Agree,Extremely,Disturbing,Strongly Agree,Yes,Significantly,A little,5
Always,Always,Sometimes,Often,Often,Rarely,Satisfied,Neutral,Good,Agree,A little,Neutral,Neutral,Yes,Extremely,Significantly,5
Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Neutral,Neutral,Adequate,Agree,A little,Disturbing,Agree,Yes,Moderately,Moderately,3
Always,Rarely,Often,Sometimes,Often,Sometimes,Neutral,Neutral,Good,Neutral,Extremely,Neutral,Neutral,Yes,Extremely,Not at all,3
Often,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Agree,No,Extremely,A little,5
Always,Always,Always,Sometimes,Always,Rarely,Neutral,Neutral,Adequate,Neutral,Extremely,Disturbing,Neutral,No,Moderately,A little,4
Often,Always,Often,Always,Often,Always,Dissatisfied,Neutral,Poor,Strongly Agree,Significantly,Very Disturbing,Agree,No,Extremely,Not at all,5
Rarely,Always,Sometimes,Always,Rarely,Sometimes,Satisfied,Neutral,Good,Agree,A little,Manageable,Neutral,Yes,A little,A little,3
Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Neutral,Disagree,Adequate,Disagree,A little,Disturbing,Neutral,No,Moderately,A little,4
Often,Always,Always,Often,Often,Sometimes,Dissatisfied,Agree,Good,Agree,Moderately,Disturbing,Agree,No,Significantly,Moderately,5
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Satisfied,Agree,Excellent,Agree,Significantly,Neutral,Neutral,Yes,Moderately,Significantly,4
Sometimes,Always,Sometimes,Often,Sometimes,Often,Neutral,Strongly Agree,Good,Agree,Significantly,Very Manageable,Strongly Agree,Yes,Significantly,Moderately,4
Often,Always,Always,Often,Sometimes,Often,Satisfied,Agree,Good,Agree,Extremely,Disturbing,Strongly Agree,Yes,Moderately,Moderately,4
Rarely,Often,Always,Always,Often,Rarely,Neutral,Agree,Good,Disagree,Significantly,Very Disturbing,Agree,Yes,Moderately,Significantly,3
Always,Always,Often,Often,Often,Never,Neutral,Agree,Excellent,Neutral,Extremely,Manageable,Strongly Agree,No,Extremely,Moderately,5
Often,Often,Sometimes,Always,Often,Often,Dissatisfied,Agree,Excellent,Agree,Extremely,Disturbing,Strongly Agree,Yes,Extremely,Moderately,5
Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Agree,Extremely,Disturbing,Agree,No,Significantly,Moderately,4
Always,Always,Always,Always,Always,Often,Satisfied,Agree,Excellent,Strongly Agree,Extremely,Manageable,Strongly Agree,No,Significantly,Significantly,5
Always,Sometimes,Rarely,Often,Rarely,Always,Dissatisfied,Agree,Adequate,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,2
Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very Satisfied,Strongly Agree,Good,Disagree,A little,Very Manageable,Neutral,Yes,Not at all,Significantly,5
Often,Always,Often,Always,Often,Rarely,Neutral,Agree,Good,Strongly Agree,Significantly,Very Manageable,Agree,No,Extremely,Significantly,1
Rarely,Never,Never,Often,Rarely,Rarely,Very Satisfied,Strongly Agree,Poor,Strongly Disagree,A little,Very Manageable,Strongly Agree,Yes,Not at all,Significantly,5
Often,Always,Rarely,Always,Often,Rarely,Satisfied,Strongly Agree,Good,Strongly Agree,Significantly,Very Manageable,Agree,No,Significantly,Significantly,4
Rarely,Rarely,Never,Always,Always,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Significantly,Manageable,Strongly Agree,Yes,Not at all,A little,5
Often,Always,Always,Always,Sometimes,Often,Satisfied,Agree,Excellent,Agree,Extremely,Very Disturbing,Strongly Agree,No,A little,Not at all,5
Always,Always,Rarely,Always,Rarely,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Always,Often,Always,Always,Often,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Significantly,Disturbing,Agree,No,Extremely,A little,5
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Significantly,Very Disturbing,Strongly Agree,No,Extremely,Significantly,5
Rarely,Often,Sometimes,Often,Rarely,Often,Satisfied,Strongly Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Moderately,3
Often,Always,Always,Often,Sometimes,Oftem,Neutral,Agree,Good,Agree,Extremely,Disturbing,Neutral,Yes,Significantly,Significantly,4
Sometimes,Often,Oftem,Sometimes,Often,Sometimes,Satisfied,Neutral,Good,Neutral,Moderately,Manageable,Neutral,Yes,Moderately,Moderately,3
Rarely,Rarely,Never,Always,Always,Rarely,Very Satisfied,Agree,Excellent,Strongly Disagree,A little,Manageable,Agree,Yes,Not at all,Significantly,1
Sometimes,Oftem,Oftem,Sometimes,Often,Often,Neutral,Neutral,Adequate,Neutral,Moderately,Distrubing,Agree,Yes,Significantly,Significantly,4
Always,Always,Always,Oftem,Sometimes,Always,Satisfied,Strongly Disagree,Poor,Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Often,Always,Always,Often,Rarely,Neutral,Agree,Good,Disagree,Significantly,Very Disturbing,Agree,Yes,Moderately,Moderately,3
Often,Always,Sometimes,Always,Always,Always,Dissatisfied,Agree,Good,Agree,Extremely,Manageable,Strongly Agree,Yes,Significantly,Not at all,4
Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very Satisfied,Agree,Excellent,Strongly Disagree,A little,Very Manageable,Agree,Yes,Not at all,Significantly,1
Often,Always,Oftem,Always,Oftem,Sometimes,Neutral,Agree,Good,Agree,Extremely,Manageable,Strongly Agree,Yes,Significantly,Moderately,5
Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Manageable,Agree,Yes,Moderately,Moderately,3
Never,Rarely,Never,Never,Rarely,Never,Very Satisfied,Strongly Agree,Good,Strongly Disagree,Not at all,Manageable,Disagree,Yes,Not at all,Significantly,1
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Rarely,Sometimes,Often,Sometimes,Often,Satisfied,Agree,Good,Disagree,Significantly,Manageable,Agree,Yes,Moderately,Moderately,3
Sometimes,Always,Sometimes,Always,Sometimes,Often,Neutral,Agree,Good,Agree,Extremely,Disturbing,Neutral,Yes,Significantly,Significantly,4
Never,Never,Never,Sometimes,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Disagree,Not at all,Manageable,Disagree,Yes,Not at all,Significantly,1
Rarely,Often,Never,Often,Sometimes,Rarely,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Moderately,3
Often,Always,Always,Always,Oftem,Often,Dissatisfied,Agree,Good,Agree,Extremely,Disturbing,Strongly Agree,Yes,Significantly,Not at all,5
Sometimes,Rarely,Rarely,Always,Rarely,Rarely,Satisfied,Neutral,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,3
Rarely,Oftem,Always,Often,Often,Always,Neutral,Agree,Adequate,Neutral,Extremely,Very Disturbing,Neutral,No,Extremely,Moderately,4
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Never,Rarely,Rarely,Often,Rarely,Rarely,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Manageable,Agree,Yes,Not at all,Moderately,1
Sometimes,Often,Oftem,Oftem,Sometimes,Often,Satisfied,Agree,Good,Agree,Moderately,Distrubing,Agree,Yes,Moderately,Moderately,3
Rarely,Rarely,Never,Always,Oftem,Never,Satisfied,Agree,Good,Neutral,Significantly,Manageable,Neutral,Yes,Not at all,Moderately,2
Always,Always,Always,Always,Sometimes,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Often,Always,Sometimes,Often,Sometimes,Always,Neutral,Agree,Good,Disagree,Extremely,Manageable,Agree,Yes,Significantly,Significantly,4
Sometimes,Never,Never,Sometimes,Rarely,Never,Very Satisfied,Agree,Excellent,Strongly Disagree,A little,Manageable,Agree,Yes,Not at all,Significantly,1
Rarely,Often,Sometimes,Always,Sometimes,Often,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Moderately,3
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Significantly,Very Disturbing,Strongly Agree,No,Extremely,Moderately,5
Rarely,Often,Never,Always,Oftem,Rarely,Satisfied,Agree,Good,Disagree,Significantly,Manageable,Neutral,Yes,Not at all,Moderately,1
Often,Always,Always,Always,Sometimes,Always,Dissatisfied,Agree,Good,Agree,Extremely,Distrubing,Strongly Agree,Yes,Significantly,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Disagree,Not at all,Manageable,Agree,Yes,Not at all,Significantly,1
Rarely,Never,Sometimes,Often,Sometimes,Rarely,Satisfied,Agree,Good,Neutral,Moderately,Manageable,Disagree,Yes,A little,Moderately,2
Often,Sometimes,Often,Sometimes,Often,Often,Neutral,Neutral,Good,Neutral,Moderately,Disturbing,Neutral,Yes,Moderately,Moderately,3
Always,Always,Always,Rarely,Always,Always,Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Often,Sometimes,Always,Sometimes,Often,Neutral,Agree,Good,Agree,A little,Manageable,Agree,Yes,A little,Significantly,2
